nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
Burberry Beauty,London for Women Eau De Parfum,Rp 2.798.000,"
        (268)
      ",
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
HUGO BOSS,Alive Eau De Parfum,Rp 2.600.000,"
        (8)
      ","
        3 sizes
      "
MCM,Crush Eau De Parfum,Rp 1.650.000,"
        (7)
      ","
        3 sizes
      "
Narciso Rodriguez,For Him Bleu Noir Parfum,Rp 2.700.000,"
        (5)
      ","
        2 sizes
      "
DIOR,J'Adore Eau de Parfum Roller Pearl,Rp 1.250.000,"
        (111)
      ",
Rabanne,Olympea Solar Intense Eau De Parfum,Rp 2.200.000,"
        (22)
      ",
Carolina Herrera,Bad Boy Cobalt Eau De Parfum Électrique,Rp 2.000.000,"
        (256)
      ","
        3 sizes
      "
HERMÈS,Hermes Terre d'Hermes Eau Intense Vetiver Eau De Parfum,Rp 1.910.000,"
        (2)
      ",
Dolce&Gabbana,Dolce Garden Eau de Parfum,Rp 1.950.000,"
        (210)
      ",
GIVENCHY,Gentleman Givenchy Eau de Toilette Intense,Rp 2.145.000,"
        (319)
      ","
        2 sizes
      "
HERMÈS,L'Ombre des Merveilles Eau De Parfum,Rp 2.350.000,,"
        3 sizes
      "
Dolce&Gabbana,The Only One Eau de Parfum Intense,Rp 2.650.000,"
        (1)
      ",
Dolce&Gabbana,Dolce Peony Eau de Parfum,Rp 1.950.000,"
        (26)
      ",
DIOR,Miss Dior Rose N'Roses Eau de Toilette Roller Pearl,Rp 1.050.000,"
        (147)
      ",
Rabanne,Phantom Eau De Toilette,Rp 1.350.000,"
        (186)
      ","
        2 sizes
      "
Dolce&Gabbana,The One Gold Eau de Parfum Intense,Rp 2.530.000,"
        (2)
      ",
Michael Kors,Sexy Amber Eau De Parfum,Rp 1.583.000,"
        (3)
      ","
        2 sizes
      "
Ferragamo,Foreste Di Seta Eau De Parfum,Rp 1.900.000,,"
        2 sizes
      "
Jo Malone London,Blackberry & Bay Cologne,Rp 2.885.000,"
        (179)
      ","
        2 sizes
      "
Gucci Beauty,Gucci Flora Gorgeous Magnolia Eau De Parfum,Rp 3.200.000,"
        (695)
      ","
        3 sizes
      "
Narciso Rodriguez,Hair Mist,Rp 1.070.000,"
        (1)
      ",
L'Atelier Parfum,Leather Black (K)Night Eau De Parfum,Rp 1.415.700,"
        (2)
      ","
        2 sizes
      "
HERMÈS,H24 Eau De Parfum,Rp 2.595.000,"
        (162)
      ","
        2 sizes
      "
MCM,MCM Eau de Parfum Necklace Set,Rp 1.280.000,"
        (1)
      ",
HERMÈS,Terre D'Hermès Eau Givrée Eau De Parfum,Rp 2.595.000,"
        (53)
      ","
        2 sizes
      "
Gucci Beauty,Gucci Bloom Ambrosia Di Fiori Eau De Parfum,Rp 3.450.000,"
        (330)
      ","
        2 sizes
      "
Dolce&Gabbana,Dolce Lily Eau de Toilette,Rp 1.760.000,"
        (337)
      ",
Juliette Has a Gun,Lipstick Fever Eau De Parfum,Rp 2.780.000,"
        (49)
      ",
HERMÈS,Voyage d'Hermès Pure Perfume,Rp 2.060.000,"
        (3)
      ",
L'Atelier Parfum,Rose Coup Foudre,Rp 2.290.000,"
        (15)
      ","
        3 types
      "
Jo Malone London,Myrrh & Tonka Cologne Intense,Rp 575.000,"
        (383)
      ","
        3 sizes
      "
Jo Malone London,Wood Sage & Sea Salt Cologne,Rp 500.000,"
        (1508)
      ","
        4 sizes
      "
HERMÈS,Un Jardin À Cythère Eau De Toilette,Rp 1.850.000,"
        (220)
      ","
        2 sizes
      "
FRESH,Sugar Lychee Eau De Parfum,Rp 1.950.000,"
        (2)
      ","
        3 sizes
      "
Gucci Beauty,Gucci Guilty Elixir De Parfum Pour Homme,Rp 3.000.000,"
        (410)
      ",
Jo Malone London,Wild Bluebell Cologne,Rp 2.885.000,"
        (360)
      ","
        3 sizes
      "
BVLGARI,Pour Homme Eau De Toilette,Rp 2.280.000,"
        (6)
      ",
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Armani Beauty,Code Le Parfum,Rp 2.510.000,"
        (267)
      ",
Versace,Eros Pour Femme Eau de Parfum,Rp 2.282.000,"
        (278)
      ",
Marc Jacobs Fragrances,Perfect Eau de Toilette,Rp 2.553.000,"
        (367)
      ","
        3 sizes
      "
Armani Beauty,Si Passione Éclat Eau De Parfum,Rp 3.000.000,"
        (82)
      ",
Jo Malone London,Lime Basil & Mandarin Cologne,Rp 2.885.000,"
        (168)
      ","
        3 sizes
      "
Bon Parfumeur,"106 Damascena Rose, Davana, Vanilla EDP",Rp 975.000,"
        (3)
      ","
        3 sizes
      "
Bon Parfumeur,"903 Nepalese Berries, Saffron, Oud EDP",Rp 1.400.000,,"
        2 sizes
      "
Ferragamo,Bright Leather Men Eau De Toilette,Rp 1.950.000,"
        (2)
      ","
        3 sizes
      "
DIOR,Miss Dior Parfum,Rp 2.600.000,"
        (63)
      ","
        2 sizes
      "
Burberry Beauty,Her Eau De Toilette,Rp 2.975.000,"
        (514)
      ","
        2 sizes
      "
L'Atelier Parfum,Coeur De Petales,Rp 1.590.000,"
        (24)
      ","
        3 sizes
      "
