nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
Sol de Janeiro,Cheirosa 59 Perfume Mist,535000,2381,2
MCM,MCM Collection Mighty Bear,2680000,1,1
Yves Saint Laurent,Libre Le Parfum,3575000,1080,2
Ferragamo,Signorina Eleganza Eau de Parfum,2350000,4,1
Ferragamo,Signorina Eau De Parfum,2350000,12,2
GUERLAIN,Aqua Allegoria Flora Cherrysia Eau De Toilette,2061000,41,1
HERMÈS,Terre d'Hermes Eau de Toilette,2290000,301,2
Coach,For Woman Eau de Toilette,1830000,106,2
HUGO BOSS,Hugo Just Different Eau De Toilette,1900000,0,2
Marc Jacobs Fragrances,Perfect Intense Eau de Parfum,2775000,566,1
Dolce&Gabbana,Dolce Eau de Parfum,2055000,1,1
GIVENCHY,Irresistible Eau de Parfum,1565000,677,4
Juliette Has a Gun,Vanilla Vibes Eau De Parfum,2780000,501,1
Dolce&Gabbana,Light Blue Eau de Toilette,1860000,47,1
Marc Jacobs Fragrances,Daisy Eau de Toilette ,1400000,2885,2
GUERLAIN,Aqua Allegoria Pamplelune Eau De Toilette,2061000,27,1
OUAI,North Bondi Eau De Parfum,1398000,449,2
Marc Jacobs Fragrances,Perfect Eau De Parfum,2553000,1288,3
Versace,Dylan Blue Pour Femme Eau de Parfum,2162000,85,1
Gucci Beauty,Gucci Bloom Profumo Di Fiori Eau De Parfum,3200000,654,2
Gucci Beauty,Gucci Guilty Absolute Pour Homme Eau De Parfum,2700000,39,2
Burberry Beauty,London for Women Eau De Parfum,2798000,268,1
MCM,MCM Collection Jolly Rabbit,2680000,0,1
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,2250000,0,1
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,2850000,0,1
Armani Beauty,Si Eau De Parfum,2990000,0,1
Armani Beauty,Acqua Di Giò Parfum,1700000,0,1
Armani Beauty,Stronger With You Parfum,2485000,0,1
Armani Beauty,My Way Le Parfum,2255000,0,1
Ferragamo,FIAMMA,1380000,0,1
HUGO BOSS,Alive Eau De Parfum,2600000,8,3
MCM,Crush Eau De Parfum,1650000,7,3
Narciso Rodriguez,For Him Bleu Noir Parfum,2700000,5,2
DIOR,J'Adore Eau de Parfum Roller Pearl,1250000,111,1
Rabanne,Olympea Solar Intense Eau De Parfum,2200000,22,1
Carolina Herrera,Bad Boy Cobalt Eau De Parfum Électrique,2000000,256,3
HERMÈS,Hermes Terre d'Hermes Eau Intense Vetiver Eau De Parfum,1910000,2,1
